OMIM_ID	type	ENSID
108746	gene	ENSG00000131100
108780	gene	ENSG00000175206
108960	gene	ENSG00000169418
108961	gene	ENSG00000159899
108962	gene	ENSG00000113389
109090	gene	ENSG00000138385
109091	gene	ENSG00000179218
109092	gene	ENSG00000132109
109110	gene	
109135	gene	ENSG00000167601
109170	gene	ENSG00000204482
109190	gene	ENSG00000105281
109195	gene	ENSG00000101425
109270	gene/phenotype	ENSG00000004939
109280	gene	ENSG00000164889
109480	gene	ENSG00000172270
109530	gene	ENSG00000117091
109535	gene	ENSG00000101017
109545	gene	ENSG00000048462
109560	gene	ENSG00000069399
109565	gene	ENSG00000113916
109580	gene	ENSG00000133639
109610	gene	ENSG00000100300
109630	gene/phenotype	ENSG00000043591
109635	gene	ENSG00000173020
109636	gene	ENSG00000100077
109675	gene	ENSG00000073849
109684	gene	ENSG00000108786
109685	gene	ENSG00000086696
109690	gene/phenotype	ENSG00000169252
109691	gene	ENSG00000188778
109700	gene	ENSG00000166710
109710	gene	
109715	gene	ENSG00000203857
109750	gene	ENSG00000106605
109760	gene	ENSG00000178394
109770	gene	ENSG00000079385
110300	gene	ENSG00000175164
110600	gene	ENSG00000111339
110750	gene	ENSG00000136732
111100	gene/phenotype	ENSG00000171124
111680	gene	ENSG00000187010
111700	gene	ENSG00000188672
111730	gene	ENSG00000167080
112203	gene	ENSG00000121594
112205	gene	ENSG00000105369
112210	gene	ENSG00000156738
112260	gene	ENSG00000242252
112261	gene	ENSG00000125845
112262	gene	ENSG00000125378
112263	gene	ENSG00000152785
112264	gene	ENSG00000168487
112265	gene	ENSG00000112175
112266	gene	ENSG00000153162
112267	gene	ENSG00000101144
113503	gene	ENSG00000168398
113505	gene	ENSG00000176697
113508	gene	ENSG00000128245
113510	gene	
113520	gene	ENSG00000060982
113530	gene	ENSG00000105552
113703	gene	ENSG00000167526
113705	gene	ENSG00000012048
113710	gene	ENSG00000160182
113720	gene	
113725	gene	ENSG00000151615
113730	gene	ENSG00000109424
113810	gene	ENSG00000151914
113811	gene	ENSG00000065618
113995	gene	ENSG00000197405
114010	gene	ENSG00000084774
114019	gene	ENSG00000129910
114020	gene	ENSG00000170558
114021	gene	ENSG00000062038
114025	gene	ENSG00000066032
114050	gene	ENSG00000104327
114051	gene	ENSG00000172137
114070	gene	ENSG00000197043
114078	gene	ENSG00000070808
114080	gene	ENSG00000152495
114085	gene	ENSG00000197747
114090	gene	ENSG00000153113
114105	gene	ENSG00000138814
114106	gene	ENSG00000107758
114107	gene	ENSG00000120910
114110	gene	ENSG00000197956
114130	gene	ENSG00000110680
114131	gene	ENSG00000004948
114160	gene	ENSG00000175868
114170	gene	ENSG00000126247
114180	gene	ENSG00000198668
114182	gene	ENSG00000143933
114183	gene	ENSG00000160014
114184	gene	ENSG00000178363
114190	gene	ENSG00000064989
114204	gene	ENSG00000153956
114205	gene	ENSG00000151067
114206	gene	ENSG00000157388
114207	gene	ENSG00000067191
114208	gene	ENSG00000081248
114209	gene	ENSG00000108878
114210	gene	ENSG00000196154
114212	gene	ENSG00000105519
114213	gene	ENSG00000122786
114217	gene	ENSG00000127022
114220	gene	ENSG00000014216
114230	gene	ENSG00000162909
114240	gene	ENSG00000092529
114250	gene	ENSG00000143318
114251	gene	ENSG00000118729
114280	gene	ENSG00000169442
114350	gene	ENSG00000126883
114610	gene	ENSG00000118432
114750	gene	ENSG00000164879
114760	gene	ENSG00000167434
114761	gene	ENSG00000174990
114770	gene	ENSG00000168748
114780	gene	ENSG00000131686
114800	gene	ENSG00000133742
114815	gene	ENSG00000178538
114830	gene	ENSG00000159228
114835	gene	ENSG00000198848
114840	gene	ENSG00000170835
114850	gene	ENSG00000091704
114851	gene	ENSG00000163751
114852	gene	ENSG00000153002
114855	gene	ENSG00000109472
114860	gene	ENSG00000135678
114890	gene	ENSG00000105388
115435	gene	ENSG00000145681
115437	gene	ENSG00000162510
115440	gene	ENSG00000101266
115441	gene	ENSG00000204435
115442	gene	ENSG00000070770
115450	gene	ENSG00000126545
115460	gene	ENSG00000135222
115500	gene	ENSG00000121691
115501	gene	ENSG00000107165
116790	gene/phenotype	ENSG00000093010
116805	gene	ENSG00000044115
116806	gene	ENSG00000168036
116810	gene	ENSG00000164733
116820	gene	ENSG00000103811
116830	gene	ENSG00000100448
116831	gene	ENSG00000100450
116840	gene	ENSG00000117984
116845	gene	ENSG00000163131
116880	gene	ENSG00000135047
116890	gene	ENSG00000196188
116896	gene	ENSG00000257923
116897	gene	ENSG00000245848
116898	gene	ENSG00000221869
116899	gene	ENSG00000124762
116900	gene	ENSG00000173207
116901	gene	ENSG00000123975
116930	gene	ENSG00000149294
116940	gene	ENSG00000170312
116945	gene	ENSG00000073111
116946	gene	ENSG00000004897
116947	gene	ENSG00000164045
116948	gene	ENSG00000099804
116949	gene	ENSG00000101224
116951	gene	ENSG00000008128
116952	gene	ENSG00000070831
116953	gene	ENSG00000123374
116955	gene	ENSG00000169714
116957	gene	ENSG00000080839
116960	gene	
117139	gene	ENSG00000115163
117140	gene	ENSG00000125817
117141	gene	ENSG00000145241
117143	gene	ENSG00000138778
117340	gene	ENSG00000140743
117700	gene	ENSG00000047457
118190	gene	ENSG00000144381
118423	gene	ENSG00000128656
118425	gene	ENSG00000188037
118440	gene	ENSG00000187094
118444	gene	ENSG00000163394
118445	gene	ENSG00000110148
118455	gene	ENSG00000167910
118457	gene	
118470	gene	ENSG00000087237
118485	gene	ENSG00000140459
118490	gene	ENSG00000070748
118491	gene	ENSG00000110721
118493	gene	ENSG00000181072
118494	gene	ENSG00000133019
118495	gene	ENSG00000180720
118496	gene	ENSG00000184984
118502	gene	ENSG00000120903
118503	gene	ENSG00000080644
118504	gene	ENSG00000101204
118505	gene	ENSG00000169684
118507	gene	ENSG00000160716
118508	gene	ENSG00000147432
118509	gene	ENSG00000117971
118510	gene	ENSG00000168539
118511	gene	ENSG00000175344
118661	gene	ENSG00000038427
118820	gene	ENSG00000213218
118825	gene	ENSG00000203668
118850	gene	ENSG00000135346
118860	gene	ENSG00000104827
118870	gene	
118880	gene	
118888	gene	ENSG00000141086
118890	gene	ENSG00000168925
118910	gene	ENSG00000100604
118920	gene	ENSG00000089199
118930	gene	ENSG00000171951
118938	gene	ENSG00000092009
118945	gene	ENSG00000242689
118946	gene	ENSG00000122756
118950	gene	ENSG00000062485
118955	gene	ENSG00000141367
118960	gene	ENSG00000122705
118970	gene	ENSG00000175416
118990	gene	ENSG00000138434
120070	gene	ENSG00000169031
120090	gene	ENSG00000134871
120105	gene	ENSG00000137392
120110	gene	ENSG00000123500
120120	gene	ENSG00000114270
120130	gene	ENSG00000187498
120131	gene	ENSG00000081052
120140	gene/phenotype	ENSG00000139219
120150	gene/phenotype	ENSG00000108821
120160	gene	ENSG00000164692
120165	gene	ENSG00000082293
120180	gene	ENSG00000168542
120190	gene	ENSG00000204262
120210	gene	ENSG00000112280
120215	gene	ENSG00000130635
120216	gene	ENSG00000080573
120220	gene	ENSG00000142156
120240	gene	ENSG00000142173
120250	gene	ENSG00000163359
120251	gene	ENSG00000144810
120252	gene	ENSG00000171812
120260	gene	ENSG00000049089
120270	gene	ENSG00000092758
120280	gene	ENSG00000060718
120290	gene	ENSG00000204248
120320	gene	ENSG00000111799
120324	gene	ENSG00000187955
120325	gene	ENSG00000204291
120326	gene	ENSG00000084636
120328	gene	ENSG00000182871
120340	gene	
120350	gene	ENSG00000197467
120353	gene	ENSG00000196611
120355	gene	ENSG00000118113
120360	gene	ENSG00000087245
120361	gene	ENSG00000100985
120420	gene	ENSG00000184371
120436	gene	ENSG00000076242
120470	gene	ENSG00000187323
120520	gene	ENSG00000196549
120550	gene	ENSG00000173372
120560	gene	
120570	gene	ENSG00000173369
120575	gene	ENSG00000159189
120577	gene	ENSG00000125810
120580	gene	ENSG00000182326
120620	gene	ENSG00000203710
120650	gene	ENSG00000117322
120700	gene	ENSG00000125730
120810	gene	ENSG00000244731
120820	gene	ENSG00000224389
120830	gene	ENSG00000123838
120831	gene	ENSG00000123843
120900	gene	ENSG00000106804
120920	gene	ENSG00000117335
120930	gene	ENSG00000176919
120940	gene	ENSG00000113600
120950	gene	ENSG00000157131
120960	gene	ENSG00000021852
120980	gene	ENSG00000169896
121009	gene	ENSG00000118523
121010	gene	ENSG00000163736
121011	gene	ENSG00000165474
121012	gene	ENSG00000187513
121013	gene	ENSG00000265107
121014	gene	ENSG00000152661
121015	gene	ENSG00000121743
121360	gene	ENSG00000067955
122500	gene	ENSG00000170099
122559	gene	ENSG00000145708
122560	gene	ENSG00000147571
122561	gene	ENSG00000120088
122720	gene/phenotype	ENSG00000255974
123101	gene	ENSG00000120149
123260	gene	ENSG00000132693
123280	gene	ENSG00000166165
123290	gene	ENSG00000237289
123295	gene	ENSG00000131730
123310	gene	ENSG00000104879
123580	gene	ENSG00000160202
123590	gene	ENSG00000109846
123610	gene	ENSG00000108255
123620	gene	ENSG00000244752
123630	gene	ENSG00000100053
123631	gene	ENSG00000196431
123660	gene	ENSG00000168582
123670	gene	ENSG00000182187
123680	gene	ENSG00000163254
123690	gene	ENSG00000118231
123691	gene	ENSG00000116791
123695	gene	ENSG00000161217
123730	gene	ENSG00000213139
123740	gene	ENSG00000103316
123803	gene	ENSG00000123268
123805	gene	ENSG00000172572
123810	gene	ENSG00000118260
123811	gene	ENSG00000115966
123812	gene	ENSG00000095794
123825	gene	ENSG00000198515
123828	gene	ENSG00000250506
123829	gene	ENSG00000135446
123830	gene	ENSG00000173786
123831	gene	ENSG00000164885
123832	gene	ENSG00000100526
123833	gene	ENSG00000118971
123834	gene	ENSG00000112576
123835	gene	ENSG00000145386
123836	gene	ENSG00000134057
123837	gene	ENSG00000105173
123838	gene	ENSG00000112237
123840	gene	ENSG00000196262
123841	gene	ENSG00000166794
123842	gene	ENSG00000168938
123855	gene	ENSG00000170373
123856	gene	ENSG00000170369
123857	gene	ENSG00000101441
123858	gene	ENSG00000170367
123859	gene	ENSG00000110619
123860	gene	ENSG00000171793
123864	gene	ENSG00000131143
123866	gene	ENSG00000135940
123870	gene	ENSG00000176340
123875	gene	ENSG00000213145
123876	gene	ENSG00000159176
123885	gene	ENSG00000143546
123886	gene	ENSG00000163220
123889	gene	ENSG00000243646
123890	gene	ENSG00000163599
123900	gene	ENSG00000092820
123910	gene	ENSG00000100453
123920	gene	ENSG00000158825
123930	gene	ENSG00000197408
123940	gene	ENSG00000170477
123970	gene	ENSG00000172115
123980	gene	ENSG00000179091
123995	gene	ENSG00000161281
123996	gene	ENSG00000112695
124010	gene	ENSG00000160868
124015	gene	ENSG00000127948
124020	gene	ENSG00000165841
124030	gene	ENSG00000100197
124040	gene	ENSG00000130649
124050	gene	ENSG00000110887
124060	gene/phenotype	ENSG00000140505
124070	gene	ENSG00000197446
124075	gene	ENSG00000142973
124080	gene	ENSG00000179142
124089	gene	ENSG00000126267
124090	gene	ENSG00000164919
124092	gene	ENSG00000136634
124095	gene	ENSG00000103653
124097	gene	ENSG00000105516
124450	gene	ENSG00000203797
125220	gene	ENSG00000206047
125240	gene	ENSG00000196352
125255	gene	ENSG00000011465
125263	gene	ENSG00000105398
125264	gene	ENSG00000124795
125265	gene	ENSG00000129625
125270	gene	ENSG00000148218
125290	gene	ENSG00000023330
125305	gene	ENSG00000158856
125450	gene	ENSG00000156136
125485	gene	ENSG00000152591
125505	gene	ENSG00000213918
125597	gene	ENSG00000143196
125643	gene	ENSG00000134765
125645	gene	ENSG00000134755
125647	gene	ENSG00000096696
125660	gene	ENSG00000175084
125670	gene	ENSG00000134760
125671	gene	ENSG00000046604
125855	gene	ENSG00000065357
125860	gene/phenotype	ENSG00000181019
125880	gene	
125950	gene	ENSG00000155368
126060	gene	ENSG00000228716
126063	gene	ENSG00000119689
126064	gene	ENSG00000102967
126065	gene	ENSG00000019186
126090	gene	ENSG00000166228
126110	gene	ENSG00000143437
126141	gene	ENSG00000130226
126150	gene	ENSG00000113070
126255	gene	ENSG00000115844
126330	gene	
126335	gene	ENSG00000116717
126337	gene	ENSG00000175197
126340	gene	ENSG00000104884
126350	gene	ENSG00000105612
126375	gene	ENSG00000130816
126380	gene	ENSG00000012061
126391	gene	ENSG00000105486
126420	gene	ENSG00000198900
126430	gene	ENSG00000131747
126431	gene	ENSG00000077097
126449	gene	ENSG00000184845
126450	gene	ENSG00000149295
126451	gene	ENSG00000151577
126452	gene	ENSG00000069696
126453	gene	ENSG00000169676
126455	gene	ENSG00000142319
126650	gene	ENSG00000091138
126660	gene	ENSG00000113758
128239	gene	ENSG00000173402
128240	gene	ENSG00000152818
128260	gene	ENSG00000182004
128990	gene	ENSG00000120738
128992	gene	ENSG00000135625
129010	gene	ENSG00000122877
129190	gene	ENSG00000135318
130120	gene	ENSG00000139610
130130	gene	ENSG00000197561
130135	gene	ENSG00000021355
130160	gene	ENSG00000049540
130410	gene	ENSG00000105379
130500	gene	ENSG00000159023
130590	gene	ENSG00000156508
130592	gene	ENSG00000104529
130593	gene	ENSG00000254772
130610	gene	ENSG00000167658
130620	gene	ENSG00000164587
130660	gene	ENSG00000138080
131150	gene	
131170	gene	ENSG00000213462
131180	gene	
131195	gene	ENSG00000106991
131210	gene	ENSG00000007908
131220	gene	ENSG00000113578
131222	gene	ENSG00000025708
131230	gene	ENSG00000164111
131235	gene	ENSG00000105438
131240	gene/phenotype	ENSG00000078401
131241	gene	ENSG00000127129
131242	gene	ENSG00000124205
131243	gene	ENSG00000151617
131244	gene	ENSG00000136160
131290	gene	ENSG00000163064
131310	gene	ENSG00000164778
131320	gene	ENSG00000107485
131330	gene	ENSG00000181195
131340	gene	ENSG00000101327
131360	gene	ENSG00000111674
131370	gene	ENSG00000108515
131390	gene	ENSG00000116962
131398	gene	ENSG00000169397
131399	gene	ENSG00000121053
131410	gene	ENSG00000169385
131530	gene	ENSG00000138798
131550	gene	ENSG00000146648
131560	gene	ENSG00000132589
132350	gene	ENSG00000111450
132810	gene	ENSG00000143819
132811	gene	ENSG00000120915
132880	gene	ENSG00000160113
132890	gene	ENSG00000175745
133090	gene	ENSG00000148175
133170	gene	ENSG00000130427
133171	gene	ENSG00000187266
133220	gene	
133230	gene	
133280	gene	ENSG00000139684
133290	gene	
133430	gene	ENSG00000091831
133435	gene	ENSG00000079102
133440	gene	ENSG00000151247
133450	gene	ENSG00000182944
133510	gene	ENSG00000163161
133520	gene	ENSG00000175595
133530	gene	ENSG00000134899
133535	gene	
133550	gene	ENSG00000106688
134350	gene	ENSG00000197766
134370	gene	ENSG00000000971
134371	gene	ENSG00000244414
134390	gene	ENSG00000117525
134570	gene	ENSG00000124491
134580	gene	ENSG00000143278
134629	gene	ENSG00000160752
134635	gene	ENSG00000168522
134636	gene	ENSG00000257365
134637	gene	ENSG00000026103
134638	gene	ENSG00000117560
134640	gene	ENSG00000145384
134650	gene	ENSG00000163586
134651	gene	ENSG00000121769
134660	gene	ENSG00000084207
134690	gene	ENSG00000149806
134770	gene	ENSG00000167996
134790	gene	ENSG00000087086
134795	gene	ENSG00000105202
134797	gene	ENSG00000166147
134820	gene	ENSG00000171560
134830	gene	ENSG00000171564
134850	gene	ENSG00000171557
134920	gene	ENSG00000138685
134921	gene	ENSG00000111241
134934	gene	ENSG00000068078
134935	gene	ENSG00000160867
135600	gene	ENSG00000115414
135620	gene	ENSG00000161638
135630	gene	ENSG00000150093
135820	gene	ENSG00000077942
135821	gene	ENSG00000163520
135940	gene	ENSG00000143631
136130	gene	ENSG00000010932
136131	gene	ENSG00000076258
136132	gene	ENSG00000007933
136350	gene	ENSG00000077782
136351	gene	ENSG00000122025
136352	gene	ENSG00000037280
136425	gene	ENSG00000165457
136430	gene	ENSG00000110195
136435	gene	ENSG00000170820
136440	gene	ENSG00000119537
136470	gene	ENSG00000134363
136510	gene	ENSG00000136877
136515	gene	ENSG00000175592
136530	gene	ENSG00000131808
136533	gene	ENSG00000150907
136535	gene	ENSG00000248905
136537	gene	ENSG00000171051
136538	gene	ENSG00000171049
136539	gene	ENSG00000187474
136820	gene	ENSG00000001036
136835	gene	ENSG00000130383
136836	gene	ENSG00000156413
136840	gene	
136850	gene	ENSG00000091483
136870	gene	
136890	gene	
136950	gene	ENSG00000140564
137010	gene	
137020	gene	ENSG00000104522
137025	gene	ENSG00000010810
137026	gene	ENSG00000125388
137028	gene	ENSG00000156958
137030	gene	ENSG00000143891
137035	gene	ENSG00000069482
137060	gene	ENSG00000086062
137070	gene	ENSG00000089280
137140	gene	ENSG00000151834
137141	gene	ENSG00000109158
137142	gene	ENSG00000186297
137143	gene	ENSG00000145863
137150	gene	ENSG00000183044
137160	gene	ENSG00000022355
137161	gene	ENSG00000146276
137162	gene	ENSG00000111886
137163	gene	ENSG00000187730
137164	gene	ENSG00000113327
137165	gene	ENSG00000157103
137166	gene	ENSG00000163285
137167	gene	ENSG00000115486
137168	gene	ENSG00000099998
137170	gene	ENSG00000006625
137181	gene	ENSG00000133475
137190	gene	ENSG00000163288
137192	gene	ENSG00000166206
137207	gene	ENSG00000137507
137216	gene	ENSG00000105675
137217	gene	ENSG00000186009
137240	gene	ENSG00000159224
137241	gene	ENSG00000010310
137250	gene	ENSG00000184502
137260	gene	ENSG00000134443
137290	gene	ENSG00000184292
137295	gene	ENSG00000179348
137350	gene	ENSG00000148180
137570	gene	ENSG00000144136
137780	gene	ENSG00000131095
137960	gene	ENSG00000115204
138030	gene	ENSG00000115263
138032	gene	ENSG00000112164
138033	gene	ENSG00000215644
138040	gene	ENSG00000113580
138079	gene	ENSG00000106633
138090	gene	ENSG00000049239
138120	gene	ENSG00000044574
138130	gene	ENSG00000148672
138140	gene	ENSG00000117394
138150	gene	ENSG00000125166
138160	gene	ENSG00000163581
138170	gene	ENSG00000059804
138180	gene	ENSG00000120053
138190	gene	ENSG00000181856
138200	gene	ENSG00000167701
138210	gene	ENSG00000166123
138230	gene	ENSG00000142583
138243	gene	ENSG00000163873
138244	gene	ENSG00000164418
138245	gene	ENSG00000171189
138246	gene	ENSG00000152578
138247	gene	ENSG00000120251
138248	gene	ENSG00000155511
138249	gene	ENSG00000176884
138250	gene	ENSG00000059573
138251	gene	ENSG00000178719
138252	gene	ENSG00000273079
138253	gene	ENSG00000183454
138254	gene	ENSG00000161509
138275	gene	ENSG00000136750
138280	gene	ENSG00000115419
138290	gene	ENSG00000135821
138292	gene	ENSG00000198380
138295	gene	ENSG00000136628
138297	gene	ENSG00000138792
138300	gene	ENSG00000104687
138319	gene	ENSG00000176153
138320	gene	ENSG00000233276
138321	gene	ENSG00000211445
138322	gene	ENSG00000167468
138330	gene	ENSG00000008394
138333	gene	ENSG00000168765
138350	gene	ENSG00000134184
138359	gene	ENSG00000243955
138360	gene	ENSG00000244067
138380	gene	ENSG00000213366
138385	gene	ENSG00000134201
138390	gene	ENSG00000134202
138400	gene	ENSG00000111640
138420	gene	ENSG00000167588
138430	gene	ENSG00000115159
138440	gene	ENSG00000159131
138450	gene	ENSG00000182199
138470	gene	ENSG00000243649
138480	gene	
138491	gene	ENSG00000145888
138492	gene	ENSG00000109738
138550	gene	ENSG00000100994
138570	gene	ENSG00000104812
138571	gene	ENSG00000111713
138590	gene	ENSG00000197465
138600	gene	ENSG00000229314
138610	gene	ENSG00000228278
138670	gene	ENSG00000121410
138680	gene	ENSG00000145192
138700	gene	ENSG00000091583
138720	gene	ENSG00000203618
138750	gene	ENSG00000124767
138760	gene	ENSG00000063854
138850	gene	ENSG00000109163
138890	gene	ENSG00000133937
138945	gene	ENSG00000030582
138960	gene	ENSG00000164400
138965	gene	ENSG00000124875
138970	gene	ENSG00000108342
138971	gene	ENSG00000119535
138972	gene	ENSG00000153879
138981	gene	ENSG00000100368
139080	gene	ENSG00000122912
139110	gene	ENSG00000081041
139111	gene	ENSG00000163734
139130	gene	ENSG00000111664
139139	gene	ENSG00000123358
139150	gene	ENSG00000145715
139160	gene	ENSG00000128266
139180	gene	
139185	gene	ENSG00000180447
139190	gene	ENSG00000118702
139191	gene	ENSG00000106128
139200	gene	ENSG00000145321
139240	gene	ENSG00000136487
139250	gene	ENSG00000259384
139255	gene	ENSG00000087250
139259	gene	ENSG00000103342
139260	gene	ENSG00000119125
139265	gene	ENSG00000137198
139270	gene	ENSG00000143774
139310	gene	ENSG00000127955
139311	gene	ENSG00000087258
139312	gene	ENSG00000141404
139313	gene	ENSG00000088256
139314	gene	ENSG00000060558
139320	gene	ENSG00000087460
139330	gene	ENSG00000114349
139340	gene	ENSG00000134183
139350	gene	ENSG00000167768
139360	gene	ENSG00000114353
139370	gene	ENSG00000065135
139380	gene	ENSG00000078369
139390	gene	ENSG00000172354
139391	gene	ENSG00000167083
139392	gene	ENSG00000197273
139395	gene	ENSG00000214415
139396	gene	ENSG00000164116
139397	gene	ENSG00000061918
139605	gene	ENSG00000114315
140050	gene	ENSG00000145649
140100	gene	ENSG00000257017
140210	gene	ENSG00000261701
140550	gene	ENSG00000204389
140555	gene	ENSG00000173110
140556	gene	
140559	gene	ENSG00000204390
140560	gene	ENSG00000126803
140571	gene	ENSG00000080824
140572	gene	ENSG00000096384
140575	gene	
140580	gene	ENSG00000185122
140581	gene	ENSG00000025156
140750	gene	ENSG00000166444
141180	gene	ENSG00000123338
141250	gene	ENSG00000100292
141251	gene	ENSG00000103415
141800	gene	ENSG00000206172
141850	gene	ENSG00000188536
141860	gene	
141900	gene	ENSG00000244734
142000	gene	ENSG00000223609
142100	gene	ENSG00000213931
142200	gene	ENSG00000213934
142210	gene	ENSG00000124575
142220	gene	ENSG00000168298
142230	gene	ENSG00000174059
142240	gene	ENSG00000086506
142250	gene	ENSG00000196565
142290	gene	ENSG00000110169
142310	gene	ENSG00000130656
142360	gene	ENSG00000099937
142370	gene	ENSG00000101336
142385	gene	ENSG00000108924
142390	gene	
142408	gene	ENSG00000173531
142409	gene	ENSG00000019991
142410	gene	ENSG00000135100
142440	gene	ENSG00000105707
142445	gene	ENSG00000157168
142460	gene	ENSG00000169439
142461	gene	ENSG00000142798
142560	gene	ENSG00000198563
142570	gene	ENSG00000160883
142580	gene	ENSG00000204469
142590	gene	ENSG00000204463
142600	gene	ENSG00000156515
142610	gene	ENSG00000204438
142620	gene	ENSG00000204427
142622	gene	ENSG00000121905
142640	gene	ENSG00000113905
142695	gene	ENSG00000115677
142701	gene	ENSG00000126550
142702	gene	ENSG00000205649
142703	gene	ENSG00000113749
142704	gene	ENSG00000140287
142705	gene	ENSG00000130528
